School name,State,City,Degree of urbanization,Number of applicants,Has Early Decision (ED) Plan?,Has Early Action (EA) Plan?,Acceptance rate,ED admit rate,EA admit rate,RD admit rate,Average GPA,GPA Weighted,Percent of students with GPA (4.0+),Percent of students with GPA (3.75-3.99),Percent of students with GPA (3.00-3.24),Percent of students with GPA (3.25-3.49),Percent of students with GPA (2.00-2.49),Percent of students with GPA (Below 1.00),Percent of students with GPA (2.50-2.99),Percent of students with GPA (3.50-3.74),ACT Composite 25th,ACT Composite 50th,ACT Composite 75th,ACT English 75th,ACT Reading 75th,ACT Reading 50th,ACT English 50th,ACT English 25th,ACT Reading 25th,ACT Math 25th,ACT Science 25th,ACT Science 50th,ACT Math 50th,ACT Math 75th,ACT Science 75th,Percentage of enrolled freshmen submitting ACT scores,SAT Reading 25th,SAT Reading 50th,SAT Reading 75th,SAT Math 75th,SAT Composite 50th,SAT Composite 75th,SAT Math 50th,SAT Math 25th,SAT Composite 25th,Percentage of enrolled freshmen submitting SAT scores,Percent Women,Percent Men,Percent Non-binary,Percent Hispanic/Latino,Percent Black or African American,Percent White or Caucasian,Percent American Indian or Alaska Native,Percent Asian,Percent Native Hawaiian or Pacific Islander,Percent Other,Published in-state tuition and fees,Published out-of-state tuition and fees,Total price for in-state students living on campus,Number of men enrolled,Number of women enrolled,Number of students enrolled,Estimated undergraduate enrollment full time,4 year graduation rate,Retention rate,6 year graduation rate,Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (dollar amt),Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (percentage),Average amount of institutional grant aid received by full-time first-time undergraduates,Average net price-students receiving grant or scholarship aid,Average amount of other federal grant aid received by full-time first-time undergraduates,Average amount of Pell grant aid received by full-time first-time undergraduates,Average amount of state/local grant aid received by full-time first-time undergraduates,Average amount of student loan aid received by full-time first-time undergraduates,Average amount of federal student loan aid received by full-time first-time undergraduates,Average amount of other student loan aid received by full-time first-time undergraduates,Average amount of federal  state  local or institutional grant aid received,Percent of full-time first-time undergraduates receiving any financial aid,Percent of full-time first-time undergraduates receiving federal state local or institutional grant aid,Percent of full-time first-time undergraduates receiving other federal grant aid,Percent of full-time first-time undergraduates receiving state/local grant aid,Percent of full-time first-time undergraduates receiving Pell grants,Percent of full-time first-time undergraduates receiving any loans to students or grant aid  from federal state/local government or the institution,Percent of full-time first-time undergraduates receiving institutional grant aid,Percent of full-time first-time undergraduates receiving federal student loans,Percent of full-time first-time undergraduates receiving student loan aid,Percent of full-time first-time undergraduates receiving other loan aid,Percent of full-time first-time undergraduates  receiving federal grant aid,Average net price (income over 110 000),"Average net price (income 75,001-110,000)","Average net price (income 48,001-75,000)","Average net price (income 30,001-48,000)","Average net price (income 0-30,000)",Student
Alfred University,NY,Alfred,Town: Remote,"4,988",No,Yes,74%,---,---,74%,3.5,No,26.03%,13.97%,12.60%,8.77%,4.38%,---,15.34%,18.63%,24,27,29,31,---,---,26,21,---,23,---,---,26,27,---,4%,555,600,660,650,1190,1280,590,540,1100,26%,53%,47%,---,12%,8%,70%,---,2%,1%,9%,"$43,570","$43,570","$63,800",171,194,432,"1,474",44%,78%,57%,"$23,726",42%,"$24,615","$26,127",$740,"$5,001","$3,433","$7,509","$4,914","$4,323","$28,371",99%,99%,41%,39%,41%,99%,99%,68%,69%,43%,41%,"$27,120","$27,943","$23,315","$18,570","$15,458",
Allegheny College,PA,Meadville,Town: Distant,"5,757",Yes,Yes,55%,31%,---,55%,3.45,No,9.40%,24.10%,14%,14.30%,2.30%,---,16.30%,19.20%,24,29,30,32,---,---,28,25.5,---,22.5,---,---,25,27.25,---,8.60%,610,640,690,665,1250,1350,610,565,1140,29.10%,48%,52%,---,7%,10%,73%,---,3%,---,7%,"$58,160","$58,160","$76,590",170,155,283,"1,171",67%,78%,73%,"$34,775",100%,"$40,241","$27,929","$6,155","$5,026","$4,523","$7,475","$5,029","$14,091","$42,682",100%,100%,18%,22%,31%,100%,97%,79%,80%,14%,31%,"$28,466","$21,833","$15,476","$14,616","$12,227",
Alliant International University-San Diego,---,San Diego,---,1,No,No,---,---,---,---,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,38%,6%,43%,1%,5%,---,6%,"$19,230","$19,230","$49,368",---,---,---,355,---,---,---,---,---,---,---,---,"$2,500",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Alverno College,WI,Milwaukee,City: Large,634,No,No,84%,---,---,84%,2.98,No,1.14%,12.50%,13.64%,12.50%,22.73%,---,28.41%,7.95%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,95%,---,5%,42%,19%,27%,1%,5%,---,6%,"$35,112","$35,112","$46,262",---,88,150,673,29%,61%,51%,"$8,179",85%,"$20,083","$17,884","$1,275","$4,961","$3,794","$5,334","$4,775","$11,320","$26,617",100%,100%,43%,69%,65%,100%,99%,47%,48%,3%,68%,"$17,577","$17,449","$19,307","$15,885","$15,889",
American Conservatory Theater,CA,San Francisco,City: Large,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,17%,17%,17%,---,17%,---,33%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
American International College,MA,Springfield,City: Midsize,"2,257",No,No,97%,---,---,97%,2.91,No,---,---,---,---,---,---,---,---,17,---,22,---,---,---,---,---,---,---,---,---,---,---,---,4%,---,---,---,---,---,---,---,---,---,---,39%,61%,---,26%,28%,37%,---,1%,2%,6%,"$45,530","$45,530","$65,760",167,108,277,"1,331",28%,68%,37%,---,---,"$30,164","$21,454","$2,337","$5,077","$3,536","$7,210","$5,559","$13,018","$34,009",98%,98%,8%,26%,52%,98%,98%,84%,84%,11%,52%,"$37,851","$21,847","$21,234","$19,398","$17,645",
American University,DC,Washington,City: Large,"17,154",Yes,Yes,62%,80%,---,61%,---,---,---,---,---,---,---,---,---,---,29,31,32,35,---,---,33,28,---,25,---,---,27,29,---,8%,660,710,740,710,1380,1450,670,620,1300,22%,60%,40%,---,15%,9%,59%,---,8%,---,10%,"$61,720","$61,720","$85,546",654,"1,001","1,856","7,476",67%,88%,75%,"$13,691",54%,"$30,259","$40,189","$1,957","$5,135",$525,"$9,121","$5,111","$30,157","$31,402",82%,62%,1%,2%,15%,70%,62%,42%,43%,6%,15%,"$53,257","$34,587","$23,477","$18,630","$21,176",
American University of Health Sciences,---,Signal Hill,---,1,No,No,100%,---,---,100%,2.5,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,100%,---,31%,11%,4%,1%,46%,3%,3%,"$21,420","$21,420","$21,420",1,---,1,364,67%,83%,67%,---,---,---,---,---,"$4,597",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Amherst College,MA,Amherst,Suburb: Large,"13,742",Yes,No,9%,29%,---,8%,---,---,---,---,---,---,---,---,---,---,33,33,35,36,---,---,35,34,---,32,---,---,31,35,---,22%,740,740,780,800,1500,1550,760,750,1360,39%,55%,42%,3%,16%,10%,42%,---,19%,---,13%,"$73,830","$73,830","$95,530",207,269,488,"1,914",75%,97%,94%,---,---,"$63,167","$17,965",$992,"$5,485","$3,524","$9,823","$5,192","$15,657","$65,623",65%,58%,16%,4%,21%,59%,58%,5%,7%,3%,21%,"$50,358","$20,179","$6,112","$1,868","$1,888",
Antioch College,OH,Yellow Springs,Town: Fringe,139,---,---,89%,---,---,89%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,20%,72%,28%,---,17%,12%,48%,2%,5%,---,17%,"$36,993","$36,993","$53,533",5,13,35,124,26%,72%,41%,"$28,885",100%,"$34,367","$10,979",$951,"$5,297","$3,450","$4,064","$4,064",---,"$39,404",100%,100%,33%,30%,77%,100%,100%,73%,73%,---,77%,"$6,602","$6,602","$6,602","$6,602","$6,602",
Antioch University-Los Angeles,CA,Culver City,Suburb: Large,10,No,No,80%,---,---,80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14%,7%,52%,---,9%,---,19%,"$26,720","$26,720","$69,172",---,---,---,61,---,---,---,---,---,---,---,---,"$4,261",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Antioch University-Santa Barbara,CA,Santa Barbara,City: Small,10,No,No,80%,---,---,80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,37%,4%,43%,2%,2%,---,12%,"$26,080","$26,080","$68,532",---,---,---,52,---,---,---,---,---,---,---,---,"$4,808",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Antioch University-Seattle,WA,Seattle,City: Large,10,No,No,80%,---,---,80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7%,5%,43%,1%,4%,1%,38%,"$26,260","$26,260","$69,468",---,---,---,81,---,---,---,---,---,---,---,---,"$4,246",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Arcadia University,PA,Glenside,Suburb: Large,"10,163",---,---,80%,---,---,80%,3.33,No,8%,17%,15%,16%,8%,---,15%,21%,26,28,30,35,---,---,30,24,---,19,---,---,23,27,---,1%,550,600,650,615,1195,1310,595,515,1083,9%,64%,36%,---,12%,18%,58%,1%,4%,---,7%,"$50,940","$50,940","$71,450",216,378,420,"2,030",58%,79%,67%,"$17,183",468%,"$30,989","$26,994",$965,"$5,197","$4,539","$10,422","$5,495","$17,970","$34,234",100%,100%,12%,32%,32%,100%,100%,75%,76%,21%,32%,"$31,115","$27,220","$21,027","$20,872","$18,744",
Argosy University-Hawaii,---,Honolulu,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Argosy University-Los Angeles,---,Los Angeles,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Argosy University-Orange County,---,Orange,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Argosy University-Phoenix,---,Phoenix,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Argosy University-Seattle,---,Seattle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Arizona College of Nursing-Tempe,---,Glendale,---,86,---,---,100%,---,---,100%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,81%,19%,---,47%,19%,21%,4%,2%,1%,6%,"$24,853","$24,853","$24,853",12,52,39,306,60%,64%,60%,---,---,---,"$30,709",$608,"$5,995",---,"$17,284","$7,456","$11,764","$6,685",100%,50%,38%,---,50%,100%,---,94%,100%,88%,50%,"$35,067","$34,344","$35,067","$30,832","$26,114",
Arizona State University,AZ,Tempe,City: Midsize,"70,928",No,No,90%,---,---,90%,3.53,No,9.30%,27.80%,13.40%,16.50%,1.20%,---,9.10%,22.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,52%,48%,---,29%,5%,45%,1%,10%,---,10%,"$12,975","$35,167","$36,114","6,777","7,204","14,102","65,450",56%,87%,70%,"$8,687",80%,"$9,787","$16,401","$1,065","$5,434","$4,558","$8,308","$5,213","$25,944","$11,992",93%,89%,14%,14%,29%,92%,85%,29%,30%,4%,29%,"$21,772","$19,651","$15,764","$10,562","$8,909",
Arkansas State University,AR,Jonesboro,City: Small,"11,568",No,No,80%,---,---,80%,3.49,No,17%,19.37%,13.25%,15.83%,2.68%,1.11%,11.94%,18.36%,18,22,24,25,---,---,23,17,---,16,---,---,21,23,---,78.05%,490,550,570,620,1100,1180,550,475,1030,2.53%,60%,40%,---,6%,16%,69%,---,1%,---,8%,"$8,354","$15,002","$27,914",674,998,"1,660","9,985",41%,78%,53%,"$9,413",6%,"$7,720","$13,002",$839,"$5,139","$1,802","$5,705","$5,115","$9,157","$10,720",96%,95%,9%,60%,41%,96%,87%,45%,45%,3%,42%,"$17,431","$15,587","$14,092","$11,300","$9,806",
Art Center College of Design,CA,Pasadena,City: Midsize,"1,461",No,Yes,76%,---,---,76%,3.84,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,66%,34%,---,17%,2%,18%,---,53%,---,9%,"$56,308","$56,308","$86,804",116,227,322,"2,040",35%,86%,79%,---,---,"$14,716","$53,306","$1,019","$5,171","$9,131","$8,260","$5,326","$35,868","$18,219",70%,66%,19%,12%,20%,70%,65%,35%,35%,3%,20%,"$60,976","$52,165","$46,301","$40,905","$42,545",
Ashford University,---,Clinton,---,"1,436",No,No,79%,---,---,79%,---,---,---,---,---,---,---,---,---,---,15,---,21,---,---,---,---,---,---,---,---,---,---,---,---,98%,---,---,---,---,---,---,---,---,---,---,59%,41%,---,21%,28%,40%,1%,3%,1%,6%,"$11,960","$11,960","$37,760",245,347,---,"24,949",1%,31%,20%,---,---,"$2,157","$25,771",$663,"$4,038",---,"$6,157","$6,157",---,"$5,234",100%,100%,28%,---,64%,100%,100%,64%,64%,---,66%,"$27,097","$28,812","$26,377","$24,745","$25,193",
Aspen University,---,Denver,---,8,No,No,88%,---,---,88%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13%,21%,52%,1%,5%,1%,8%,"$6,900","$6,900","$10,950",---,---,---,"2,398",---,100%,---,---,---,---,---,---,"$4,190",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Assumption University,MA,Worcester,City: Midsize,"5,898",Yes,Yes,83%,63%,92%,72%,3.56,No,17.70%,19.60%,13%,18.60%,1%,---,10.30%,19.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,56%,44%,---,14%,6%,73%,---,2%,---,4%,"$53,420","$53,420","$72,564",219,278,479,"1,713",69%,84%,75%,"$30,162",95%,"$30,809","$29,072","$1,570","$4,957","$3,340","$9,266","$5,390","$18,771","$32,759",100%,100%,12%,21%,21%,100%,100%,92%,92%,19%,21%,"$32,130","$28,551","$25,004","$17,319","$18,025",
Auburn University,AL,Auburn University,City: Small,"55,054",No,Yes,46%,---,---,46%,4.09,Yes,63.98%,19.88%,1.41%,3.83%,0.08%,---,0.29%,10.52%,26,28,31,33,---,---,28,25,---,24,---,---,26,29,---,76%,630,660,690,700,1310,1380,650,620,1240,16%,54%,46%,---,5%,4%,84%,---,3%,---,4%,"$13,318","$36,022","$38,048","2,807","3,274","5,935","27,907",60%,95%,82%,"$8,190",59%,"$10,827","$24,524",$960,"$5,145","$3,089","$9,169","$5,228","$24,373","$11,644",81%,75%,5%,4%,12%,81%,73%,27%,28%,5%,12%,"$29,310","$26,957","$21,834","$17,633","$16,332",
Augustana College,IL,Rock Island,City: Small,"7,857",Yes,Yes,63%,90%,83%,46%,3.44,No,5.70%,23.30%,15.90%,18.60%,1.80%,---,13.80%,20.70%,21,24,29,29,---,---,23,21,---,19,---,---,23,28,---,14%,520,560,630,640,1120,1250,560,510,1010,56%,52%,48%,---,16%,6%,68%,---,3%,---,7%,"$53,346","$53,346","$72,108",319,344,723,"2,522",66%,82%,73%,"$36,438",100%,"$33,822","$24,695",$609,"$4,989","$6,765","$7,905","$5,276","$7,053","$36,474",100%,100%,22%,21%,21%,100%,100%,55%,56%,22%,22%,"$6,658","$20,075","$17,567","$14,949","$15,549",
Austin College,TX,Sherman,City: Small,"5,282",Yes,Yes,48%,---,---,48%,3.59,No,8.17%,29.58%,11.27%,24.51%,---,---,3.09%,23.38%,23,29,29,28,---,---,29,21,---,20.5,---,---,25,26,---,8%,550,620,660,650,1230,1340,610,550,1170,24%,47%,51%,2%,29%,8%,47%,1%,9%,---,6%,"$50,014","$50,014","$67,613",181,166,296,"1,167",63%,79%,67%,"$35,546",100%,"$31,241","$24,777",$984,"$5,233","$3,646","$9,149","$5,337","$15,082","$35,022",100%,100%,29%,47%,33%,100%,100%,55%,57%,15%,33%,"$27,503","$28,185","$22,351","$18,021","$19,701",
Azusa Pacific University,CA,Azusa,Suburb: Large,"3,826",No,Yes,80%,---,---,80%,3.74,No,---,54%,9%,11%,3%,---,9%,14%,18,24,26,25,---,---,23,20,---,16,---,---,23,28,---,4%,512,590,657,657,1145,1314,555,482,994,13%,68%,32%,---,40%,7%,27%,---,15%,1%,10%,"$45,340","$45,340","$65,590",133,281,420,"2,996",49%,83%,64%,"$10,044",37%,"$23,675","$26,117","$1,497","$5,050","$8,682","$6,032","$5,133","$11,727","$28,652",100%,100%,27%,34%,32%,100%,99%,41%,42%,4%,32%,"$23,832","$21,641","$20,848","$19,271","$17,839",
